Gender,Race/Ethnicity,Home_City,Preferred_Langauge,Hobby_Interest,Budget (in millions),Fathers_Occupation,Mothers_Occupation,Study_Group,Degree_Program,Matric_Marks,Inter_Marks,Year_of_Admission,Campus,University
male,Pashtun,Peshawar,Urdu,Gaming,2,Retired,Doctor,CS,BSAI,965,985,2020,Karachi,Bahria University
male,Punjabi,Islamabad,Urdu,Nothing,3,Engrr,House Wife,Pre-Med,MBBS,892,900,2019,Peshawar,KMC
male,Other,Peshawar,Pashto,Nothing,1,Retired,House Wife,Pre-Engrr,BSMech,902,903,2019,Peshawar,UOP
male,Punjabi,Islamabad,Urdu,Gaming,8,Army,Doctor,Commerce,BBA,1000,991,2019,Lahore,LUMS
male,Pashtun,Peshawar,Pashto,Sports,2,Engrr,House Wife,Pre-Engrr,BSCivil,780,752,2019,Peshawar,CECOS
male,Other,Peshawar,Urdu,Nothing,3,Retired,House Wife,Pre-Engrr,BSEE,729,803,2019,Peshawar,UOP
male,Punjabi,Peshawar,Urdu,Reading,7,Doctor,Doctor,Pre-Engrr,BSEE,700,780,2020,Lahore,Government College University (GCU)
male,Sindhi,Karachi,Sindhi,Gaming,2,Engrr,House Wife,Pre-Engrr,BSMech,940,970,2019,Peshawar,IMsciences
male,Punjabi,Islamabad,Punjabi,Gaming,4,Army,House Wife,Pre-Med,BSBiotechnology,988,963,2019,Lahore,UMT
male,Punjabi,Islamabad,Urdu,Gaming,7,Engrr,Doctor,Pre-Engrr,BSEE,823,852,2020,Lahore,Government College University (GCU)
male,Other,Peshawar,Pashto,Nothing,1.5,Retired,House Wife,Pre-Med,BSBotany,902,903,2019,Peshawar,Abdul Wali Khan University
female,Pashtun,Peshawar,Pashto,Reading,1,Engrr,House Wife,Pre-Med,MBBS,899,870,2019,Peshawar,KMC
male,Other,Kohat,Urdu,Gaming,8,Retired,Doctor,Pre-Med,Forensics,963,987,2020,Peshawar,Northwest School of Medicine
male,Other,Peshawar,Pashto,Nothing,3,Retired,House Wife,Pre-Med,BSBotany,902,903,2019,Peshawar,Abdul Wali Khan University
male,Punjabi,Islamabad,Punjabi,Gaming,3,Army,House Wife,Pre-Med,BSBiotechnology,988,963,2019,Lahore,UMT
female,Other,Lahore,Punjabi,Gaming,3,Doctor,House Wife,Pre-Engrr,BSAviMgt,895,850,2019,Lahore,UMT
male,Pashtun,Peshawar,Pashto,Nothing,2,Doctor,Teacher,Pre-Engrr,BSEE,985,987,2020,Peshawar,Abasyn University
male,Pashtun,Peshawar,Urdu,Nothing,1.5,Retired,Teacher,CS,BSAI,985,987,2019,Peshawar,Abdul Wali Khan University
female,Pashtun,Peshawar,Pashto,Gaming,9,Doctor,Doctor,Pre-Med,MBBS,988,988,2019,Peshawar,Jinnah Medical College
female,Pashtun,Islamabad,Urdu,Gaming,2,Doctor,Doctor,Commerce,BBA,956,940,2019,Islamabad,AU (Air University)
female,Punjabi,Islamabad,Urdu,Writing,4,Doctor,House Wife,Pre-Engrr,BBA,740,856,2019,Karachi,IBA
female,Pashtun,Peshawar,Urdu,Nothing,1.5,Retired,Teacher,Pre-Engrr,BSEE,985,987,2019,Peshawar,Abdul Wali Khan University
male,Punjabi,Lahore,Urdu,Gaming,3,Teacher,House Wife,Pre-Engrr,BSMech,989,966,2019,Lahore,UMT
male,Pashtun,Kohat,Urdu,Reading,2,Retired,House-Wife,Pre-Engrr,BSAI,980,950,2023,Lahore,FAST NUCES
male,Pashtun,Kohat,Urdu,Sports,4,Engrr,House Wife,Pre-Engrr,BSMech,700,780,2019,Peshawar,UET
male,Punjabi,Mardan,Urdu,Gaming,2.5,Doctor,Teacher,Pre-Med,MBBS,999,1000,2019,Lahore,UHS
male,Other,Kohat,Urdu,Nothing,3,Engrr,House Wife,CS,BSCS,999,856,2020,Peshawar,FAST NUCES
male,Pashtun,Peshawar,Urdu,Nothing,4,Engrr,House Wife,Commerce,BBA,920,910,2019,Peshawar,IMsciences
male,Baloch,Karachi,Urdu,Reading,2,Retired,Doctor,Pre-Engrr,BSEE,823,852,2019,Karachi,NED
male,Baloch,Other,Urdu,Nothing,2,Engrr,House Wife,Pre-Engrr,BSEE,710,899,2019,Peshawar,IMsciences
male,Pashtun,Peshawar,Pashto,Gaming,2,Engrr,House Wife,Pre-Engrr,BSEE,698,760,2019,Peshawar,UET
male,Pashtun,Peshawar,Pashto,Sports,2,Engrr,House Wife,Pre-Engrr,BSCivil,780,752,2019,Peshawar,CECOS
female,Pashtun,Islamabad,Urdu,Reading,2,Army,House Wife,Pre-Engrr,BSMech,823,852,2019,Karachi,NED
male,Other,Lahore,Punjabi,Gaming,1.3,Engrr,House Wife,Pre-Med,BSBotany,752,750,2019,Peshawar,Abasyn University
female,Punjabi,Sialkot,Urdu,Gaming,5,Retired,Doctor,Pre-Med,MBBS,999,952,2020,Lahore,PU (University of Punjab)
female,Punjabi,Islamabad,Urdu,Nothing,2,Engrr,House Wife,Commerce,BSAviMgt,911,780,2020,Islamabad,AU (Air University)
male,Other,Islamabad,Urdu,Sports,6,Engrr,Doctor,Pre-Med,BSBotany,920,740,2019,Lahore,Government College University (GCU)
male,Other,Karachi,Punjabi,Gaming,2,Engrr,Doctor,Pre-Engrr,BSMech,1010,998,2019,Karachi,NUST
female,Sindhi,Karachi,Urdu,Gaming,7,Doctor,Teacher,Pre-Med,MBBS,1000,1098,2019,Karachi,Aga Khan
male,Other,Islamabad,Urdu,Gaming,2,Engrr,Doctor,CS,BSCS,990,998,2019,Islamabad,COMSATS
male,Other,Islamabad,Urdu,Nothing,4,Engrr,House Wife,CS,BSAF,809,852,2019,Karachi,IBA
male,Other,Islamabad,Urdu,Gaming,2,Engrr,Doctor,CS,BSCS,970,950,2019,Islamabad,COMSATS
male,Punjabi,Sialkot,Punjabi,Nothing,3,Engrr,Doctor,Pre-Med,Biochemistry,1020,950,2019,Lahore,UMT
male,Pashtun,Peshawar,Pashto,Gaming,2,Engrr,House Wife,Pre-Engrr,BSEE,698,760,2019,Peshawar,UET
male,Other,Peshawar,Urdu,Gaming,9,Doctor,House Wife,Pre-Med,MBBS,995,995,2019,Peshawar,Jinnah Medical College
male,Other,Islamabad,Pashto,Nothing,2,Engrr,House Wife,Pre-Engrr,BSEE,720,792,2019,Peshawar,UET
male,Other,Peshawar,Pashto,Nothing,2,Retired,House Wife,Pre-Med,BSBotany,902,903,2019,Peshawar,UOP
male,Pashtun,Peshawar,Urdu,Gaming,11,Doctor,House Wife,Pre-Med,Physiology,975,952,2019,Peshawar,Northwest School of Medicine
female,Other,Peshawar,Urdu,Writing,2,Doctor,House Wife,Commerce,BBA,980,950,2020,Peshawar,IMsciences
male,Punjabi,Lahore,Urdu,Nothing,5,Army,Doctor,Pre-Med,MBBS,997,999,2019,Lahore,UHS
male,Punjabi,Lahore,Punjabi,Gaming,4,Doctor,Teacher,Pre-Med,MBBS,924,874,2020,Lahore,PU (University of Punjab)
male,Other,Lahore,Urdu,Nothing,1,Doctor,House Wife,Pre-Engrr,BSEconomics,790,825,2020,Peshawar,Islamia College University
male,Pashtun,Peshawar,Pashto,Nothing,1,Retired,Teacher,Pre-Engrr,BSEE,985,987,2020,Peshawar,Abasyn University
male,Kashmiris,Other,Urdu,Sports,2,Engrr,House Wife,Pre-Engrr,BSEE,800,870,2019,Peshawar,UET
male,Other,Lahore,Urdu,Nothing,3,Doctor,House Wife,Commerce,BSAF,752,984,2019,Islamabad,Iqra University
male,Other,Islamabad,Urdu,Nothing,2.8,Doctor,House Wife,Pre-Engrr,BSAviMgt,895,900,2019,Lahore,UMT
female,Punjabi,Lahore,Punjabi,Nothing,4,Doctor,House Wife,Pre-Engrr,BSEconomics,890,920,2019,Islamabad,PIEAS
male,Sindhi,Karachi,Sindhi,Gaming,2,Engrr,House Wife,Pre-Engrr,BSMech,940,970,2019,Peshawar,IMsciences
male,Other,Islamabad,Urdu,Writing,4,Doctor,House Wife,CS,BBA,807,752,2019,Karachi,IBA
male,Kashmiris,Islamabad,Urdu,Writing,2,Doctor,House Wife,Pre-Engrr,BSSE,860,950,2019,Karachi,Bahria University
male,Pashtun,Peshawar,Pashto,Gaming,2,Doctor,House Wife,Pre-Engrr,BSCivil,780,785,2019,Peshawar,CECOS
male,Pashtun,Peshawar,Urdu,Nothing,1,Engrr,House Wife,Pre-Med,MBBS,892,900,2019,Peshawar,KMC
female,Pashtun,Peshawar,Urdu,Nothing,9,Doctor,House Wife,Pre-Med,Physiology,898,898,2019,Peshawar,Northwest School of Medicine
male,Punjabi,Lahore,Punjabi,Reading,3,Doctor,Teacher,Pre-Med,MBBS,1000,1000,2019,Lahore,UHS
male,Kashmiris,Other,Urdu,Nothing,2,Engrr,House Wife,Pre-Med,MBBS,800,820,2019,Peshawar,KMC
male,Other,Peshawar,Pashto,Nothing,1,Retired,House Wife,Pre-Med,BSBotany,870,930,2019,Peshawar,UOP
male,Other,Karachi,Punjabi,Reading,2,Engrr,Doctor,Pre-Engrr,BSEE,1000,998,2019,Karachi,NUST
male,Punjabi,Islamabad,Urdu,Gaming,2,Engrr,Doctor,Pre-Engrr,BSAviMgt,950,905,2019,Islamabad,AU (Air University)
female,Sindhi,Islamabad,Sindhi,Gaming,3,Retired,Doctor,Commerce,BBA,806,963,2019,Karachi,IBA
female,Punjabi,Lahore,Punjabi,Gaming,4,Engrr,House Wife,Commerce,BBA,895,900,2019,Lahore,PU (University of Punjab)
