quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,patents,institution
7,9,1,1,1,1,5,0
9,17,3,12,4,4,1,1
17,11,5,4,2,2,15,2
10,24,4,16,16,11,50,3
2,29,7,37,22,22,18,4
8,14,2,53,33,26,101,5
13,28,9,15,13,19,26,6
14,31,12,14,6,15,66,7
23,21,10,13,12,14,5,8
16,52,6,6,5,3,16,9
15,26,8,34,20,28,101,10
21,42,14,22,21,16,10,11
31,16,24,9,10,8,9,12
32,19,31,8,19,23,3,13
34,77,20,11,9,9,7,14
26,66,11,40,51,44,34,15
42,38,19,25,36,43,23,16
4,101,22,101,67,101,29,17
62,59,23,3,11,6,13,18
61,101,15,10,8,10,22,19
1,101,16,101,28,96,101,20
24,93,13,101,91,101,28,21
89,75,17,42,24,34,62,22
101,101,21,19,3,13,33,23
64,63,33,17,30,21,21,24
82,101,18,35,71,39,44,25
65,43,55,20,15,12,20,26
84,73,35,26,26,29,41,27
19,101,32,101,43,84,101,28
101,78,27,41,47,40,57,29
35,101,45,27,23,33,86,30
77,101,44,39,44,51,11,31
101,32,101,24,25,20,35,32
68,60,101,2,17,7,8,33
101,101,34,7,14,18,101,34
101,86,56,31,29,31,29,35
74,62,101,32,18,30,14,36
92,101,41,74,52,67,12,37
101,101,40,5,7,5,101,38
101,101,28,68,72,36,101,39
70,91,54,33,39,47,101,40
95,70,49,61,101,58,19,41
30,81,26,101,101,61,101,42
101,101,63,46,48,32,23,43
79,101,92,23,40,25,32,44
83,88,48,71,54,56,101,45
101,101,38,59,57,52,65,46
48,101,25,73,96,101,101,47
101,101,85,18,31,17,84,48
101,101,88,45,42,45,27,49
45,89,36,101,101,101,51,50
101,101,83,30,50,35,54,51
41,54,101,82,68,54,62,52
3,61,77,101,101,101,101,53
101,101,96,29,74,42,2,54
97,101,51,72,101,101,35,55
28,53,94,101,101,53,101,56
27,13,101,101,101,101,92,57
80,72,101,50,35,49,101,58
71,101,43,64,41,70,101,59
47,3,101,101,101,101,101,60
101,101,86,48,34,37,101,61
54,101,84,36,53,78,101,62
101,94,101,38,60,27,99,63
46,101,29,101,93,101,101,64
49,37,65,101,73,92,101,65
101,101,93,28,38,48,101,66
85,101,50,47,55,41,101,67
101,30,82,101,101,101,74,68
51,101,42,84,49,95,101,69
81,101,101,21,32,24,61,70
101,101,59,80,83,72,85,71
101,101,46,58,101,80,101,72
56,101,69,101,101,101,46,73
101,34,101,44,101,69,4,74
101,101,75,52,70,63,101,75
101,101,30,70,101,101,101,76
33,101,101,96,63,65,101,77
53,101,101,49,100,67,29,78
101,101,70,101,101,77,49,79
101,97,101,54,37,50,46,80
87,101,52,86,58,100,101,81
90,101,90,60,45,62,101,82
101,50,101,76,62,57,86,83
88,101,76,81,65,101,101,84
60,41,101,101,95,75,101,85
101,67,101,79,101,46,40,86
101,101,80,101,69,99,101,87
96,101,79,62,64,54,101,88
52,101,101,91,76,94,101,89
101,101,39,101,101,101,101,90
101,101,101,67,90,89,46,91
101,101,60,85,66,101,101,92
101,101,101,56,92,85,69,93
18,15,101,101,101,101,101,94
101,101,101,95,46,66,100,95
101,101,87,101,101,101,92,96
101,101,78,75,81,86,101,97
100,101,101,65,101,60,101,98
44,4,101,101,101,101,101,99
1,1,1,1,1,1,7,0
11,2,4,6,2,2,11,2
7,12,10,11,7,13,15,6
2,16,2,16,3,3,1,1
3,15,5,9,11,10,39,3
13,8,9,13,9,11,10,8
6,28,6,8,6,4,19,9
4,14,3,58,35,27,101,5
9,19,8,37,21,30,101,10
10,25,13,20,12,22,42,7
5,101,7,38,24,25,17,4
22,5,25,10,10,9,14,12
12,23,18,21,19,15,7,11
17,3,32,14,23,29,5,13
32,17,14,28,46,58,13,16
38,35,12,5,15,6,12,18
23,96,21,4,5,7,2,14
16,60,11,40,53,55,60,15
37,31,16,41,25,33,51,22
33,101,19,15,14,14,22,19
15,101,15,101,96,101,24,21
101,101,22,23,4,18,63,23
31,55,33,19,29,20,30,24
65,101,20,33,66,34,67,25
89,42,46,22,17,17,24,26
101,56,24,46,84,37,20,29
101,92,35,17,22,19,48,27
101,21,101,27,26,24,30,32
91,81,34,2,13,12,101,34
24,101,49,12,16,21,73,30
101,101,41,7,8,5,51,38
